Nom,price,time,adress,Open,Close
Musée Edith Piaf,0.0,0.0,"5 rue Crespin du Gast, 75011 Paris France",13.0,18.0
Jardin Flottant Niki de Saint Phalle,0.0,0.0,"Quai d'Orsay. 5 Îles Péniches Bord de Seine Port du Gros Caillou, Berges de Seine, 75007 Paris France",9.0,21.0
Square Richard Lenoir Paris XI,0.0,2.0,"35 Boulevard Richard Lenoir Entre Bastille et L'avenue de la République, 75011 Paris France",9.0,21.0
Pont d'Austerlitz,0.0,0.0,Visiter le site web,9.0,21.0
Pavillon de l'Eau,0.0,0.0,"77 avenue de Versailles, 75016 Paris France",9.0,21.0
Monument à Adam Mickiewicz,0.0,0.0,Visiter le site web,9.0,21.0
Musée de la Contrefaçon,0.0,0.0,"16 rue de la Faisanderie, 75116 Paris France",14.0,17.3
Enceinte de Philippe Auguste,0.0,0.0,"Rue Clovis, 75004 Paris France",9.0,21.0
Statue du Maréchal Moncey,0.0,0.0,"Place Clichy, 75008 Paris France",9.0,21.0
Art 42,0.0,0.0,"96 Boulevard Bessières, 75017 Paris France",9.0,21.0
Statue de Voltaire,0.0,0.0,"2 rue de Seine Square Honore Champion, 75006 Paris France",9.0,21.0
Musée François Tillequin,0.0,3.0,"4 avenue de l Observatoire Faculté de Pharmacie de Paris, 75006 Paris France",9.0,21.0
Dynamo Cycling,0.0,2.0,"14 rue Saint Agustin, 75002 Paris France",9.0,21.0
Square de la Tour Saint Jacques,0.0,0.0,"39 Rue de Rivoli, 75004 Paris France",9.0,21.0
Square Emile Chautemps,0.0,0.0,"98Bbis Boulevard de Sébastopol, 75003 Paris France",9.0,21.0
Le Pletzl,0.0,0.0,Tout afficher,9.0,21.0
Theatre Michel,0.0,0.0,"38 rue des Mathurins, 75008 Paris France",9.0,21.0
Passage Couvert du Bourg-l'Abbé Paris II,0.0,2.0,"Entre 120 Rue Saint-Denis et 3 Rue de Palestro, 75002 Paris France",9.0,21.0
Piscine Joséphine Baker,0.0,0.0,"Port de la Gare Quai François Mauriac, 75013 Paris France",7.0,0.0
Centre Culturel Irlandais,0.0,0.0,"5 rue des Irlandais, 75005 Paris France",14.0,18.0
Eglise Saint Pierre de Chaillot,0.0,0.0,"31 Avenue Marceau, 75116 Paris France",7.45,19.0
Le Groupe Sculpté La Poésie,0.0,0.0,"Place de l'Opéra l’Opéra Garnier, 75009 Paris France",0.0,23.59
Rue Etienne Marcel,0.0,0.0,Tout afficher,9.0,21.0
Théatre Comédie Caumartin,0.0,0.0,"25 rue de Caumartin, 75009 Paris France",11.3,18.3
